Index,Start time in milliseconds,End time in milliseconds,Script,"Label_(0:junior,1:senior,2:none)"
1,870,1750,[음악],2
2,1760,4650,으,2
3,4670,10200,5,2
4,10220,15100,5 으 으,2
5,15110,19590,어,2
6,19610,22400,으,2
7,22420,24900,날 쳤다고 하는데,2
8,24910,29890,뭐 할 말 있어,1
9,29910,33250,너무 잡채 밀로 부탁드릴 마시고 싶어,2
10,33260,37360,부터 머신 모터 라,2
11,37380,40010,요거 참 채모 김봉식 때리,2
12,40020,47470,침내 위원회 수 있 거야 됐음 제거해주시고 오는거,2
13,47490,60120,앗뜨거 10억,2
14,60140,71090,아직,2
15,71110,73730,아,2
16,73750,76030,5 아,2
17,76040,80310,악마 주시고 주셨어요,2
18,80330,87510,몇 개월 반 봉 먹는다고 해서 짤리는 것도 아니구,2
19,87520,92760,구 거야 부 숨진 좀 주자 지금 어떻게 한거죠 아쉽구요,2
20,92770,96459,죄송 아더 고맙다 해,2
21,96479,104320,잠이 저놈한테 아쉬운 소리 하시는거 많아 싫어하시면 잘 아니까 거죠,2
22,104340,107280,박 성 님,2
23,107300,109930,물었습니다,2
24,109950,117390,그게 죄송해 아 아 헐,2
25,117410,122170,인산가 조정 전화 돌아 대기를 잘 될 거라며,2
26,122180,127790,어 어,2
27,127810,132309,아 딱 반짝 게 있지 아,2
28,132329,141969,아 정말 아십시오 잘,2
29,141989,146300,그렇지 4번 no.2 테스트,2
30,146310,153000,아 그렇지 불신앙 파키스탄 2,2
31,153020,158070,아 오 오 오 오 오,2
32,158080,160410,으,2
33,160430,161800,아,2
34,161810,163650,[음악],2
35,163660,166800,우리 회사의 비례가 부려 줄 수 있도록,2
36,166810,171440,대상과 29 합니다,2
37,171460,179680,아아아,2
38,179700,189550,그럼 첫번째 팀 장 비서 구현을 좋은 나와주세요,2
39,189570,192620,안녕하십니까 저희는 세계무대,2
40,192630,197590,우리의 발자국을 않게 따뜻하구 로 몬 인터내셔널이 좋아,1
41,197600,202060,아 자 기 서 그러 작업입니다 5,2
42,202070,205340,다음 시급,2
43,205360,207620,mp 언어 랑,2
44,207630,210930,언제 들고 찍어 드셔도 록,2
45,210950,215710,연령 존재와 태양광발전의 경우에는 정부의 지원에도 불구하고 원가 절감의,2
46,215720,216910,효과가 없습니다,0
47,216920,222250,왜 하필이면 태양에너지 냐 에 대해서 의문점이 많으실 거라고 생각되는데요,0
48,222260,225010,이 그래프를 보시면 어학에 설명이 될 수 있습니다,0
49,225020,230559,원부자재 확보는 어떻게 할 수 있지 엄호 잉곳 웨이퍼 가공 사와의 애니를,2
50,230569,235300,통해서 원부자재를 한 번 해 된다면 자연스럽게 밸류체인 역시 확보될,2
51,235310,237040,것으로 예상됩니다,2
52,237050,240220,그럼 대부분 그 개발 적은 어쩌지,1
53,240230,245430,역시 마찬가지 예전에 핵심 가치에 관한 랭 게임 인덱스를 분석한 결과,2
54,245440,250180,창조적으로 도전 회사가 되기 위해서는 핵심역량을 기반으로 관련 사업을,2
55,250190,254860,다각화 하여 변하는 환경에 유연하게 된다는 것이 중요하다고 생각합니다,2
56,254870,258389,이렇게 ibm 서의 장 돌의 1 성별 주 말하세요,2
57,258399,259690,[음악],2
58,259700,262879,창극 의식화 쟁 팀이죠 예,2
59,262889,271410,오 오 오 오,2
60,271430,271830,으,2
61,271840,280329,[음악],2
62,280349,285080,추가로 수 없이 품지 않은 음식 그때 전문가 허세를 부려 50조 꼭 한번,2
63,285090,286460,찾아 봤지,2
64,286470,290360,아 그 와중에 영식 는 것을 1 신작,2
65,290370,296240,음식 0 10 커피만 수십장 아 여기 새 없이 장 100기가 잘하고 많이,2
66,296250,297140,5,2
67,297150,303320,김석호 빼곤 안녕 아니 역시 대단하다 마부 장점이 크게 할 수 계시네,2
68,303330,308629,밥줘 만 그 함성 10 붙이고 가 배포가 좀 있어보이는데 나,2
69,308639,313279,반영에 끝이 뭔 말이야 어 왠만한 대리급 싸운 이상이 볼 때 어 2000,2
70,313289,315740,피지 면접을 시작하겠습니다,0
71,315750,319550,위의 홈질 드린 바가지 개별 bt 바지는,2
72,319560,323420,쫄바지 의 파트너에게 물건을 판단한 과연 어떤 물품을,2
73,323430,328219,그 세비지 왜냐면 장대 씨의 타당한 이유없이 거절할 경우 감점이 되면,2
74,328229,329330,리더쉽 않았다,2
75,329340,333810,제가 본 풍경 에 가서 600 물에서 어찌 되겠다,1
76,333830,336589,350g 파 계십니다 사지 않겠습니다,2
77,336599,343629,에 부 속초로 맞듯이 이벤트로 말하자면 왜 경품을,2
78,343639,347590,제대로 가 피한 명물이 나에게 좋아 하시잖아요,0
79,347600,350980,아테 지역부터 살겠다고 경미 나라 기업의 품질이 훨씬 더 좋다고,2
80,350990,351940,생각합니다,2
81,351950,355900,외국 명품 구제 김종인 씨는 실력이 있습니다,2
82,355910,360370,성실하고 요 하지만 자신감이 부족합니다,2
83,360380,365620,그건 자신만의 오리지날 구축하지 못해 발생하는 불안감 입니다,2
84,365630,369909,규정식 자신이 브랜드입니다 이제 남단 하지 마시고,2
85,369919,373930,자신을 따라하게 하는 자신만의 오리지날 et 구축하라 는 의미에서 이,2
86,373940,376090,거울 사십시오,2
87,376100,380140,다음은 장그래 한성 늦어 준비해 주십시오,2
88,380150,389000,그래 꺼내 봐라,1
89,389020,393500,니가 뭘 발등,1
90,393520,397930,뭘 들고 있는거죠,2
91,397950,400850,1 성열 씨에게 이 신뢰를 팔겠습니다,2
92,400860,405540,우리회사 모브 정리 메시야 입니다,2
93,405560,407770,될 거 아냐,1
94,407780,410180,으,2
95,410200,413490,아 아니네,1
96,413510,416200,그분의 구두를 해주십시오,2
97,416210,421860,진짜 실제로 게 합니다,2
98,421880,426820,사무직은 상대적으로 왜그래 접고 격식을 차려야 할 자리도 있으니 전갈의,2
99,426830,427930,할 겁니다,0
100,427940,431500,다시모 과장님의 2 신뢰 를 받으십시오,0
101,431510,434380,아 저작 싶다,2
102,434390,438869,빤히 달아 잇죠,2
103,438889,442320,호치 킷 어렵겠지,2
104,442340,446530,땀냄새 들어야 있습니다,2
105,446550,449180,사무실 등 현장 이라는 뜻입니다,0
106,449190,451690,그 현장에 전투와,2
107,451700,453730,당신에게,2
108,453740,459300,사무 현장에 전투화를 알겠습니다,2
109,459320,462700,탑 보안 체형과 잘 않다,2
110,462710,465700,사무실에 현장이라는 말장난이 지나지 군요,2
111,465710,471040,현장에 뭔줄 아십니까 사무실 그 적인 몇 번으로 식기 쉽게 잘려나가는,2
112,471050,477850,구주 좀 세서 그 많은 사람들 현장 구두 자러갑니다,2
113,477870,481980,그들의 전투를 소개 될까요,2
114,482000,488060,먹고 19일 합니다 누군가 떨어지면 밝은 아장 나니까,2
115,488080,494339,전투는 그런겁니다 전 당신 물건 사지 않겠습니다,2
116,494349,496949,항상 여 씨는,2
117,496969,501399,처음 만났을 때로 대 한 장을 강조했습니다 아니,2
118,501409,503830,8장 만을 강조해 줘,1
119,503840,507420,1 생일 씨가 생각하는 현장에 춰 라 함은,2
120,507430,513340,기계가 바쁘게 돌아가고 힘을 들의 제품을 만들고 웃기는 것이 겁니다,2
121,513350,516940,하지만 내일 go 철을 감안시 출근하고,2
122,516950,519220,크리 책 개최의,2
123,519230,525010,제품 수 인계를 위해 환율과 국제통상 가격을 매일 체크하고,2
124,525020,529390,에 숫자 나 때문에 수많은 절차를 더 실수를 방지하고,2
125,529400,534250,문장 1 때문에 법적 해석을 검토하고 결과를 지켜 합니다 한해 볼락,2
126,534260,538210,행 중 2 3 7 거야 서류만 넘기면 되는 것이 아닙니다,2
127,538220,543550,아니 a 저곳에 특검을 어떻게 밀고 당기는 많은 대화가 있고 그 과정에서,2
128,543560,546670,자기 자신이 초라해 보이기까지 하시오,2
129,546680,550360,한선교 씨가 말하는 현재 에서 생산되는 모든 제품은,2
130,550370,555110,왜 만들어져야 하는지에 과정을 거친 이후에 존재하는 것입니다,2
131,555120,559260,그 물건들은 사무실을 거치지 않고서는 존재할 수 없는 것입니다,2
132,559270,561430,[음악],2
133,561440,562840,제가 생각하는 현장은,2
134,562850,564560,[음악],2
135,564570,567620,1 성결 씨가 생각하는 현장과,2
136,567630,570489,결코 다르지 않다고,2
137,570499,574900,에 역시 합니다 2,2
138,574920,579290,[음악],2
139,579300,583340,으,2
140,583360,585260,elle,2
141,585270,588210,lee,2
142,588220,589790,woo,2
143,589800,597259,[음악],2
144,597279,601759,뒷 보셨죠 아 예,2
145,601779,605879,아 이 선물 맛,2
146,605899,610410,어 용기 안에 디스크에 맡겨 주십니다,2
147,610430,613290,분수 줍니다 5,2
148,613300,623100,아,2
149,623120,626380,으,2
150,626400,633350,으 상대 c 가지고 3부 c 복사 하시면 안 내 가야겠다,1
151,633370,640270,아 이 이참 습관이란 긴 참 이렇게 1 이렇게 무섭네요,2
152,640290,645800,쉴 거야 는 무슨 어이구 언제부터 잘못도 사람이 있었다고,2
153,645810,648319,아 아니 우리가 좀 2심 확인했어요,2
154,648329,652160,술이라도 한잔 자주 보내는 건데,1
155,652170,656220,가장 이제 좀 마음이 좀 그러시죠,0
156,656230,659790,저자 리안 여긴 씨가 오면 말이야,1
157,659800,664530,책상 위치를 배려를 좀 해줘야 겠어요,0
158,664550,669550,아아 이거,2
159,669570,674270,앞에 온전한 야 어 나 이번에도 추워 난 해주라,1
160,674280,680700,배 친구왈 담아야 아시죠,0
161,680720,684640,아야 아파 봐 화장실이 앞서는 호텔 샤토,2
162,684650,689500,제가 물론 소리가 들려 뭐 아끼꼬 우리 사람 선교 싸움을 또 화장실,2
163,689510,694210,화장실 앞에 치겠다 로비 배려해 줘 니가 니가 이거 이거 없으니까 자주,1
164,694220,695530,찾아뵙고,2
165,695540,700030,초대 인데요 그럼 그저 아냐 이거 기도 과정에 4 사태처럼 일단 거기 안,2
166,700040,703670,지켜도 호이 안 지켜도,2
167,703690,707850,또 제가 다음에 저 아 아이 옷 이렇게 3,2
168,707860,710670,예 아,2
169,710690,714530,[음악],2
170,714550,716030,아,2
171,716040,719560,출하시 밤 으,2
172,719580,722710,으 으,2
173,722720,725790,[음악],2
174,725800,728560,으 으,2
175,728570,734520,[음악],2
176,734540,739860,be a,2
177,739880,744379,여 보 세 요 저요 뭐,2
